queue_id,priority,canton_code,bfs_code,municipality,district,degurb2021,canonical_portal_url,platform_family,portal_audit_status,green_unit_hint,search_query_1,search_query_2,acceptance_test
CITY-AG-4045,P0,AG,4045,Wettingen,Bezirk Baden,2,,TO_DISCOVER,PENDING,,"""Wettingen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Wettingen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4082,P0,AG,4082,Wohlen (AG),Bezirk Bremgarten,2,,TO_DISCOVER,PENDING,,"""Wohlen (AG)"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Wohlen (AG)"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4289,P0,AG,4289,Zofingen,Bezirk Zofingen,2,,TO_DISCOVER,PENDING,,"""Zofingen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Zofingen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AR-3001,P0,AR,3001,Herisau,Bezirk Hinterland,2,,TO_DISCOVER,PENDING,,"""Herisau"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Herisau"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0861,P0,BE,861,Belp,Verwaltungskreis Bern-Mittelland,2,,TO_DISCOVER,PENDING,,"""Belp"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Belp"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0351,P0,BE,351,Bern,Verwaltungskreis Bern-Mittelland,1,https://www.bern.ch/themen/arbeiten-fuer-die-stadt-bern/offene-stellen,JOBS_BERN_CH,VERIFIED,Stadtgrün Bern,"""Bern"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Bern"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0371,P0,BE,371,Biel/Bienne,Verwaltungskreis Biel/Bienne,1,,TO_DISCOVER,PENDING,,"""Biel/Bienne"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Biel/Bienne"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0404,P0,BE,404,Burgdorf,Verwaltungskreis Emmental,2,,TO_DISCOVER,PENDING,,"""Burgdorf"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Burgdorf"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0581,P0,BE,581,Interlaken,Verwaltungskreis Interlaken-Oberhasli,2,,TO_DISCOVER,PENDING,,"""Interlaken"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Interlaken"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0362,P0,BE,362,Ittigen,Verwaltungskreis Bern-Mittelland,1,,TO_DISCOVER,PENDING,,"""Ittigen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Ittigen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0355,P0,BE,355,Köniz,Verwaltungskreis Bern-Mittelland,1,,TO_DISCOVER,PENDING,,"""Köniz"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Köniz"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0329,P0,BE,329,Langenthal,Verwaltungskreis Oberaargau,2,,TO_DISCOVER,PENDING,,"""Langenthal"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Langenthal"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0306,P0,BE,306,Lyss,Verwaltungskreis Seeland,2,,TO_DISCOVER,PENDING,,"""Lyss"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Lyss"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0356,P0,BE,356,Muri bei Bern,Verwaltungskreis Bern-Mittelland,1,,TO_DISCOVER,PENDING,,"""Muri bei Bern"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Muri bei Bern"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0546,P0,BE,546,Münchenbuchsee,Verwaltungskreis Bern-Mittelland,2,,TO_DISCOVER,PENDING,,"""Münchenbuchsee"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Münchenbuchsee"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0616,P0,BE,616,Münsingen,Verwaltungskreis Bern-Mittelland,2,,TO_DISCOVER,PENDING,,"""Münsingen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Münsingen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0363,P0,BE,363,Ostermundigen,Verwaltungskreis Bern-Mittelland,1,,TO_DISCOVER,PENDING,,"""Ostermundigen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Ostermundigen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0768,P0,BE,768,Spiez,Verwaltungskreis Frutigen-Niedersimmental,2,,TO_DISCOVER,PENDING,,"""Spiez"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Spiez"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0939,P0,BE,939,Steffisburg,Verwaltungskreis Thun,1,,TO_DISCOVER,PENDING,,"""Steffisburg"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Steffisburg"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0942,P0,BE,942,Thun,Verwaltungskreis Thun,1,,TO_DISCOVER,PENDING,,"""Thun"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Thun"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BE-0361,P0,BE,361,Zollikofen,Verwaltungskreis Bern-Mittelland,2,,TO_DISCOVER,PENDING,,"""Zollikofen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Zollikofen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2761,P0,BL,2761,Aesch (BL),Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Aesch (BL)"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Aesch (BL)"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2762,P0,BL,2762,Allschwil,Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Allschwil"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Allschwil"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2763,P0,BL,2763,Arlesheim,Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Arlesheim"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Arlesheim"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2765,P0,BL,2765,Binningen,Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Binningen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Binningen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2766,P0,BL,2766,Birsfelden,Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Birsfelden"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Birsfelden"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2829,P0,BL,2829,Liestal,Bezirk Liestal,2,,TO_DISCOVER,PENDING,,"""Liestal"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Liestal"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2770,P0,BL,2770,Muttenz,Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Muttenz"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Muttenz"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2769,P0,BL,2769,Münchenstein,Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Münchenstein"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Münchenstein"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2771,P0,BL,2771,Oberwil (BL),Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Oberwil (BL)"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Oberwil (BL)"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2831,P0,BL,2831,Pratteln,Bezirk Liestal,2,,TO_DISCOVER,PENDING,,"""Pratteln"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Pratteln"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BL-2773,P0,BL,2773,Reinach (BL),Bezirk Arlesheim,1,,TO_DISCOVER,PENDING,,"""Reinach (BL)"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Reinach (BL)"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BS-2701,P0,BS,2701,Basel,Kanton Basel-Stadt,1,https://jobs.arbeitgeber.bs.ch/,BS_EMPLOYER_PORTAL,VERIFIED,Stadtgärtnerei Basel-Stadt,"""Basel"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Basel"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-BS-2703,P0,BS,2703,Riehen,Kanton Basel-Stadt,1,,TO_DISCOVER,PENDING,,"""Riehen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Riehen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-GL-1632,P0,GL,1632,Glarus,Kanton Glarus,2,,TO_DISCOVER,PENDING,,"""Glarus"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Glarus"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-GL-1630,P0,GL,1630,Glarus Nord,Kanton Glarus,2,,TO_DISCOVER,PENDING,,"""Glarus Nord"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Glarus Nord"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-GR-3901,P0,GR,3901,Chur,Region Plessur,2,,TO_DISCOVER,PENDING,,"""Chur"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Chur"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-GR-3851,P0,GR,3851,Davos,Region Prättigau / Davos,2,,TO_DISCOVER,PENDING,,"""Davos"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Davos"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-GR-3955,P0,GR,3955,Landquart,Region Landquart,2,,TO_DISCOVER,PENDING,,"""Landquart"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Landquart"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-GR-3787,P0,GR,3787,St. Moritz,Region Maloja,2,,TO_DISCOVER,PENDING,,"""St. Moritz"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""St. Moritz"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1054,P0,LU,1054,Ebikon,Wahlkreis Luzern-Land,2,,TO_DISCOVER,PENDING,,"""Ebikon"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Ebikon"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1024,P0,LU,1024,Emmen,Wahlkreis Hochdorf,1,,TO_DISCOVER,PENDING,,"""Emmen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Emmen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1031,P0,LU,1031,Hochdorf,Wahlkreis Hochdorf,2,,TO_DISCOVER,PENDING,,"""Hochdorf"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Hochdorf"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1058,P0,LU,1058,Horw,Wahlkreis Luzern-Land,1,,TO_DISCOVER,PENDING,,"""Horw"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Horw"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1059,P0,LU,1059,Kriens,Wahlkreis Luzern-Land,1,,TO_DISCOVER,PENDING,,"""Kriens"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Kriens"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1061,P0,LU,1061,Luzern,Wahlkreis Luzern-Stadt,1,https://jobs.stadtluzern.ch/stellen/,CITY_LUZERN_PORTAL,VERIFIED,Stadtgrün Luzern / Strasseninspektorat,"""Luzern"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Luzern"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-LU-1103,P0,LU,1103,Sursee,Wahlkreis Sursee,2,,TO_DISCOVER,PENDING,,"""Sursee"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Sursee"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-NW-1509,P0,NW,1509,Stans,Kanton Nidwalden,2,,TO_DISCOVER,PENDING,,"""Stans"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Stans"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-OW-1407,P0,OW,1407,Sarnen,Kanton Obwalden,2,,TO_DISCOVER,PENDING,,"""Sarnen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Sarnen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3251,P0,SG,3251,Altstätten,Wahlkreis Rheintal,2,,TO_DISCOVER,PENDING,,"""Altstätten"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Altstätten"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3271,P0,SG,3271,Buchs (SG),Wahlkreis Werdenberg,2,,TO_DISCOVER,PENDING,,"""Buchs (SG)"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Buchs (SG)"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3402,P0,SG,3402,Flawil,Wahlkreis Wil,2,,TO_DISCOVER,PENDING,,"""Flawil"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Flawil"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3443,P0,SG,3443,Gossau (SG),Wahlkreis St. Gallen,2,,TO_DISCOVER,PENDING,,"""Gossau (SG)"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Gossau (SG)"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3340,P0,SG,3340,Rapperswil-Jona,Wahlkreis See-Gaster,2,,TO_DISCOVER,PENDING,,"""Rapperswil-Jona"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Rapperswil-Jona"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3215,P0,SG,3215,Rorschach,Wahlkreis Rorschach,2,,TO_DISCOVER,PENDING,,"""Rorschach"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Rorschach"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-SG-3203,P0,SG,3203,St. Gallen,Wahlkreis St. Gallen,1,https://www.stadt.sg.ch/home/verwaltung-politik/arbeiten-fuer-stgallen.html,CITY_SG_PORTAL,VERIFIED,Stadtgrün St.Gallen / Botanischer Garten,"""St. Gallen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""St. Gallen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
