universe_id,employer_level,country_code,canton_code,canton_name,bfs_code,employer_name,district,bfs_language_region_code,language_region,statistical_city,degurb2021,priority_tier,expected_green_service_units,canonical_portal_status,canonical_portal_url,portal_platform,verification_status,notes
PUB-CH-JU-CANTON,CANTON,CH,JU,Jura,,Kanton Jura,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.jura.ch/fr/Autorites/Administration/DFI/SRH/Offres-d-emploi/Offres-d-emploi.html,OFFICIAL_WEB,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-LU-CANTON,CANTON,CH,LU,Luzern,,Kanton Luzern,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://stellen.lu.ch/,CANTON_LU_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-NW-CANTON,CANTON,CH,NW,Nidwalden,,Kanton Nidwalden,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://jobs.nw.ch/,CANTON_NW_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-OW-CANTON,CANTON,CH,OW,Obwalden,,Kanton Obwalden,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.ow.ch/jobsundkarriere,OFFICIAL_WEB,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-SG-CANTON,CANTON,CH,SG,St. Gallen,,Kanton St. Gallen,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.sg.ch/ueber-den-kanton-st-gallen/arbeitgeber-kanton-stgallen/stellenportal.html,CANTON_SG_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-SH-CANTON,CANTON,CH,SH,Schaffhausen,,Kanton Schaffhausen,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Personalamt/Stellenangebote-169801-DE.html,OFFICIAL_WEB,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-SO-CANTON,CANTON,CH,SO,Solothurn,,Kanton Solothurn,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://job.so.ch/,CANTON_SO_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-SZ-CANTON,CANTON,CH,SZ,Schwyz,,Kanton Schwyz,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://jobs.sz.ch/,CANTON_SZ_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-TG-CANTON,CANTON,CH,TG,Thurgau,,Kanton Thurgau,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://stellen.tg.ch/,CANTON_TG_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-UR-CANTON,CANTON,CH,UR,Uri,,Kanton Uri,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.ur.ch/stellen,OFFICIAL_WEB,VERIFIED_OFFICIAL_NAVIGATION,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-VS-CANTON,CANTON,CH,VS,Wallis/Valais,,Kanton Wallis/Valais,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.vs.ch/de/web/srh/stellenborse,OFFICIAL_WEB,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-ZG-CANTON,CANTON,CH,ZG,Zug,,Kanton Zug,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://zg.ch/de/offene-stellen,PROSPECTIVE,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-ZH-CANTON,CANTON,CH,ZH,Zürich,,Kanton Zürich,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.zh.ch/de/arbeiten-beim-kanton.html,SOLIQUE_LINKED,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-AG-MUN-4001,MUNICIPALITY,CH,AG,Aargau,4001,Gemeinde/Stadt Aarau,Bezirk Aarau,1,GERMAN,YES,1,P0_CITY,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4271,MUNICIPALITY,CH,AG,Aargau,4271,Gemeinde/Stadt Aarburg,Bezirk Zofingen,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4221,MUNICIPALITY,CH,AG,Aargau,4221,Gemeinde/Stadt Abtwil,Bezirk Muri,1,GERMAN,NO,3,P2_RURAL,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4191,MUNICIPALITY,CH,AG,Aargau,4191,Gemeinde/Stadt Ammerswil,Bezirk Lenzburg,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4222,MUNICIPALITY,CH,AG,Aargau,4222,Gemeinde/Stadt Aristau,Bezirk Muri,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4061,MUNICIPALITY,CH,AG,Aargau,4061,Gemeinde/Stadt Arni (AG),Bezirk Bremgarten,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4091,MUNICIPALITY,CH,AG,Aargau,4091,Gemeinde/Stadt Auenstein,Bezirk Brugg,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4223,MUNICIPALITY,CH,AG,Aargau,4223,Gemeinde/Stadt Auw,Bezirk Muri,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4021,MUNICIPALITY,CH,AG,Aargau,4021,Gemeinde/Stadt Baden,Bezirk Baden,1,GERMAN,YES,2,P0_CITY,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4224,MUNICIPALITY,CH,AG,Aargau,4224,Gemeinde/Stadt Beinwil (Freiamt),Bezirk Muri,1,GERMAN,NO,3,P2_RURAL,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4131,MUNICIPALITY,CH,AG,Aargau,4131,Gemeinde/Stadt Beinwil am See,Bezirk Kulm,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4022,MUNICIPALITY,CH,AG,Aargau,4022,Gemeinde/Stadt Bellikon,Bezirk Baden,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4023,MUNICIPALITY,CH,AG,Aargau,4023,Gemeinde/Stadt Bergdietikon,Bezirk Baden,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4062,MUNICIPALITY,CH,AG,Aargau,4062,Gemeinde/Stadt Berikon,Bezirk Bremgarten,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4226,MUNICIPALITY,CH,AG,Aargau,4226,Gemeinde/Stadt Besenbüren,Bezirk Muri,1,GERMAN,NO,3,P2_RURAL,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4227,MUNICIPALITY,CH,AG,Aargau,4227,Gemeinde/Stadt Bettwil,Bezirk Muri,1,GERMAN,NO,3,P2_RURAL,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4002,MUNICIPALITY,CH,AG,Aargau,4002,Gemeinde/Stadt Biberstein,Bezirk Aarau,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4024,MUNICIPALITY,CH,AG,Aargau,4024,Gemeinde/Stadt Birmenstorf (AG),Bezirk Baden,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4092,MUNICIPALITY,CH,AG,Aargau,4092,Gemeinde/Stadt Birr,Bezirk Brugg,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4093,MUNICIPALITY,CH,AG,Aargau,4093,Gemeinde/Stadt Birrhard,Bezirk Brugg,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4132,MUNICIPALITY,CH,AG,Aargau,4132,Gemeinde/Stadt Birrwil,Bezirk Kulm,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4192,MUNICIPALITY,CH,AG,Aargau,4192,Gemeinde/Stadt Boniswil,Bezirk Lenzburg,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4228,MUNICIPALITY,CH,AG,Aargau,4228,Gemeinde/Stadt Boswil,Bezirk Muri,1,GERMAN,NO,3,P2_RURAL,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4273,MUNICIPALITY,CH,AG,Aargau,4273,Gemeinde/Stadt Bottenwil,Bezirk Zofingen,1,GERMAN,NO,3,P2_RURAL,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4063,MUNICIPALITY,CH,AG,Aargau,4063,Gemeinde/Stadt Bremgarten (AG),Bezirk Bremgarten,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4274,MUNICIPALITY,CH,AG,Aargau,4274,Gemeinde/Stadt Brittnau,Bezirk Zofingen,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4095,MUNICIPALITY,CH,AG,Aargau,4095,Gemeinde/Stadt Brugg,Bezirk Brugg,1,GERMAN,YES,2,P0_CITY,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4193,MUNICIPALITY,CH,AG,Aargau,4193,Gemeinde/Stadt Brunegg,Bezirk Lenzburg,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4003,MUNICIPALITY,CH,AG,Aargau,4003,Gemeinde/Stadt Buchs (AG),Bezirk Aarau,1,GERMAN,NO,1,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
PUB-CH-AG-MUN-4230,MUNICIPALITY,CH,AG,Aargau,4230,Gemeinde/Stadt Buttwil,Bezirk Muri,1,GERMAN,NO,2,P1_URBAN_OR_INTERMEDIATE,Stadtgrün;Stadtgärtnerei;Werkhof;Werkdienst;Gemeindebetriebe;Friedhof;Parks;Sportanlagen;Schulanlagen;Forst;Liegenschaften;Strassenunterhalt;Arealpflege;Winterdienst,DISCOVERY_PENDING,,TO_DISCOVER,NOT_YET_AUDITED,"Puede publicar en portal propio, ATS compartido, cantón, Job-Room o agregador público."
