seed_id,observed_at,published_date,employer,employer_level,employment_relationship,title,workload,location,canton,role_family,public_service_area,qualification_signal,access_level,posting_status,source_name,source_type,source_url,canonical_url_status,notes
SEED-011,2026-08-07T11:00:00+02:00,2026-07-31,Stadt Schaffhausen / Grün Schaffhausen,CITY,PUBLIC_DIRECT,Lernende/Lernender Gärtnerin/Gärtner Pflanzenproduktion EFZ,100,Schaffhausen,SH,PLANT_PRODUCTION,CITY_NURSERY;CEMETERY,Apprenticeship EFZ,APPRENTICESHIP,ACTIVE_OBSERVED,Stadt Schaffhausen,OFFICIAL_DIRECT,https://jobs.stadt-schaffhausen.ch/jobs/lernende-lernender-gaertnerin-gaertner-pflanzenproduktion-efz-5122/,CANONICAL,Start 1 August 2027; separate apprenticeship cohort.
SEED-012,2026-08-07T11:00:00+02:00,2026-07-31,Stadt Schaffhausen / Grün Schaffhausen,CITY,PUBLIC_DIRECT,Lernende/Lernender Gärtnerin/Gärtner Garten- und Landschaftsbau EBA,100,Schaffhausen,SH,LANDSCAPE_GARDENING,GREEN_SPACES;SPORT_GREEN,Apprenticeship EBA,APPRENTICESHIP,ACTIVE_OBSERVED,Stadt Schaffhausen,OFFICIAL_DIRECT,https://jobs.stadt-schaffhausen.ch/jobs/lernende-lernender-gaertnerin-gaertner-garten-und-landschaftsbau-eba-5121/,CANONICAL,Start 1 August 2027; separate apprenticeship cohort.
SEED-013,2026-08-07T11:00:00+02:00,2026-08-07,Stadt Rheinfelden,CITY,PUBLIC_DIRECT,Gärtner/in Park- und Grünflächenpflege 100%,100,Rheinfelden,AG,GREEN_SPACE_MAINTENANCE,PARKS;PUBLIC_GREEN;WINTER_SERVICE,Not fully normalized in seed,TO_CLASSIFY,ACTIVE_OBSERVED,Gemeindestellen.ch,PUBLIC_DISCOVERY,https://www.gemeindestellen.ch/jobs/werkhof-entsorgung/~job18650,CANONICAL_EMPLOYER_URL_PENDING,Discovery listing; resolve original city endpoint.
SEED-014,2026-08-07T11:00:00+02:00,,Einwohnergemeinde Sarnen,MUNICIPALITY,PUBLIC_DIRECT,Mitarbeiter/in Werkhof (100%-Pensum),100,Sarnen,OW,PUBLIC_WORKS,GREEN_SPACES;PLAYGROUNDS;ROADS;WINTER_SERVICE,Hidden-title role; qualification to classify,TO_CLASSIFY,ACTIVE_OBSERVED,publicjobs.ch,PUBLIC_DISCOVERY,https://publicjobs.ch/jobs/obwalden/unterhalt-handwerk-aussenstellen/160952-mitarbeiter-in-werkhof-100-pensum,CANONICAL_EMPLOYER_URL_PENDING,Strong gardening relevance despite non-gardener title.
SEED-015,2026-08-07T11:00:00+02:00,,Gemeinde Ellikon an der Thur,MUNICIPALITY,PUBLIC_DIRECT,Mitarbeiter/in Werkhof 50–100 %,50-100,Ellikon an der Thur,ZH,PUBLIC_WORKS,MUNICIPAL_SERVICE;GREEN_SPACES,Hidden-title role,TO_CLASSIFY,ACTIVE_OBSERVED,publicjobs.ch,PUBLIC_DISCOVERY,https://publicjobs.ch/jobs/zurich/unterhalt-handwerk-aussenstellen/158748-mitarbeiter-in-werkhof-50-100,CANONICAL_EMPLOYER_URL_PENDING,Start 1 August 2026 or by agreement.
SEED-016,2026-08-07T11:00:00+02:00,,Kanton Glarus,CANTON,PUBLIC_DIRECT,Werkhofmitarbeiter/in 80–100 %,80-100,Schwanden/Glarus,GL,PUBLIC_WORKS,ROADS;GREEN_CARE;WINTER_SERVICE,Craft qualification; B/C1 licence,A2-A5,ACTIVE_OBSERVED,publicjobs.ch,PUBLIC_DISCOVERY,https://publicjobs.ch/jobs/glarus/unterhalt-handwerk-aussenstellen/157498-werkhofmitarbeiter-in-80-100,ORIGINAL_ATS_LINKED,Explicit Grünpflege in tasks.
SEED-017,2026-08-07T11:00:00+02:00,,Personalamt des Kantons Thurgau,CANTON,PUBLIC_DIRECT,Landschaftsgärtner / Teamleiter (m/w),80-100,Frauenfeld,TG,LEADERSHIP,LANDSCAPE_GARDENING,Landscape gardener/team lead,A6,ACTIVE_OBSERVED,publicjobs.ch,PUBLIC_DISCOVERY,https://publicjobs.ch/jobs/thurgau/unterhalt-handwerk-aussenstellen/161349-landschaftsgartner-teamleiter-m-w,CANONICAL_CANTON_PORTAL_KNOWN,Resolve direct stellen.tg.ch URL.
SEED-018,2026-08-07T11:00:00+02:00,2026-08-01,Stadt Luzern,CITY,PUBLIC_DIRECT,"Lehrstelle als Gärtner*in EFZ, Fachrichtung Pflanzenproduktion (100 %)",100,Luzern,LU,PLANT_PRODUCTION,CITY_GREEN;PLANT_PRODUCTION,Apprenticeship EFZ,APPRENTICESHIP,ACTIVE_OBSERVED,publicjobs.ch,PUBLIC_DISCOVERY,https://publicjobs.ch/jobs/unterhalt-handwerk-aussenstellen,CANONICAL_CITY_PORTAL_KNOWN,Separate apprenticeship cohort; resolve direct job URL.
SEED-019,2026-08-07T11:00:00+02:00,,Schweizer Armee – Logistikbasis der Armee,FEDERAL,PUBLIC_DIRECT,Mitarbeiter/-in Gebäudebetrieb,,Brugg,AG,PUBLIC_WORKS,GREEN_AND_SITE_CARE;FACILITY_MAINTENANCE,"Garden/landscape, forestry or facility maintenance accepted",A3-A5,ACTIVE_OBSERVED,jobs.admin.ch,OFFICIAL_DIRECT,https://jobs.admin.ch/offene-stellen/mitarbeiter-in-gebaeudebetrieb/d36e0147-d680-4cb5-9aed-23e7e4be3297,CANONICAL,"Key hidden-title example: title does not say gardener, tasks include Grün- und Arealpflege."
SEED-020,2026-08-07T11:00:00+02:00,,Stadt St.Gallen – Botanischer Garten,CITY,PUBLIC_DIRECT,GärtnerIn 60–70 %,60-70,St. Gallen,SG,PLANT_PRODUCTION,BOTANICAL_GARDEN,To classify from official job portal,TO_CLASSIFY,ACTIVE_OBSERVED,Stadt St.Gallen,OFFICIAL_DIRECT,https://www.stadt.sg.ch/home/freizeit-tourismus/gaerten-parks/botanischer-garten.html,OFFICIAL_PAGE_LINKS_TO_JOB_PORTAL,Official botanical garden page states a current 60–70% gardener position.
